Identification,
,
 Serial Number:,5B 00000057922C 41 
 Description:,20180523_S4002_PCP1_i09 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.818
 Actual temperature:,-8.813
 Reference temperature:,25.979
 Actual temperature:,25.875
,
Log Values,
Reading,Values
,
0,22.04°C
1,27.666°C
2,29.415°C
3,30.227°C
4,30.601°C
5,30.726°C
6,30.789°C
7,30.851°C
8,31.163°C
9,31.788°C
10,32.225°C
11,32.537°C
12,32.724°C
13,32.911°C
14,33.036°C
15,33.161°C
16,33.286°C
17,33.286°C
18,33.348°C
19,33.348°C
20,33.411°C
21,33.411°C
22,33.473°C
23,33.473°C
24,33.473°C
25,33.535°C
26,33.535°C
27,33.535°C
28,33.535°C
29,33.535°C
30,33.535°C
31,33.598°C
32,33.598°C
33,33.598°C
34,33.535°C
35,33.161°C
36,32.911°C
37,32.662°C
38,32.349°C
39,32.1°C
40,31.912°C
41,31.788°C
42,31.663°C
43,31.538°C
44,31.475°C
45,31.413°C
46,30.976°C
47,30.601°C
48,30.289°C
49,29.977°C
50,29.789°C
51,29.54°C
52,29.29°C
53,29.102°C
54,28.915°C
55,28.79°C
56,28.79°C
57,28.603°C
58,28.165°C
59,27.791°C
60,27.541°C
61,27.291°C
62,27.103°C
63,26.916°C
64,26.728°C
65,26.541°C
66,26.416°C
67,26.416°C
68,26.166°C
69,25.791°C
70,25.416°C
71,25.166°C
72,24.916°C
73,24.728°C
74,24.603°C
75,24.416°C
76,24.291°C
77,24.166°C
78,24.103°C
79,23.978°C
80,23.666°C
81,23.416°C
82,23.103°C
83,22.79°C
84,22.54°C
85,22.29°C
86,22.04°C
87,21.79°C
88,21.602°C
89,21.602°C
90,21.477°C
91,21.227°C
92,21.039°C
93,20.851°C
94,20.664°C
95,20.476°C
96,20.351°C
97,20.539°C
98,21.477°C
99,22.102°C
100,22.54°C
101,22.915°C
102,22.853°C
103,22.54°C
104,22.415°C
105,22.352°C
106,22.29°C
107,22.29°C
108,22.29°C
109,22.29°C
110,22.227°C
111,22.29°C
112,22.29°C
113,22.29°C
114,22.29°C
115,22.227°C
116,22.227°C
117,22.227°C
118,22.227°C
119,22.29°C
120,22.29°C
121,22.29°C
122,22.352°C
123,22.352°C
124,22.352°C
125,22.352°C
126,22.415°C
127,22.415°C
128,22.415°C
129,22.415°C
130,22.478°C
131,22.478°C
132,22.478°C
133,22.478°C
134,22.478°C
135,22.54°C
136,22.54°C
137,22.54°C
138,22.54°C
139,22.54°C
140,22.603°C
141,22.603°C
142,22.603°C
143,22.603°C
144,22.665°C
145,22.665°C
146,22.665°C
147,22.665°C
148,22.665°C
149,22.665°C
150,22.728°C
151,22.728°C
152,22.728°C
153,22.728°C
154,22.728°C
155,22.79°C
156,22.79°C
157,22.79°C
158,22.79°C
159,22.79°C
160,22.853°C
161,22.853°C
162,22.853°C
163,22.853°C
164,22.853°C
165,22.853°C
166,22.915°C
167,22.915°C
168,22.915°C
169,22.915°C
170,22.915°C
171,22.915°C
172,22.978°C
173,22.978°C
174,22.978°C
175,22.978°C
176,22.978°C
177,23.04°C
178,23.04°C
179,23.04°C
180,23.04°C
181,23.04°C
182,23.103°C
183,23.103°C
184,23.165°C
