Identification,
,
 Serial Number:,6F 000000579C25 41 
 Description:,20180523_S4002_PCP1_i12 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-10.006
 Actual temperature:,-10
 Reference temperature:,24.813
 Actual temperature:,24.688
,
Log Values,
Reading,Values
,
0,21.999°C
1,28.124°C
2,29.748°C
3,30.684°C
4,30.934°C
5,30.185°C
6,29.623°C
7,30.06°C
8,30.497°C
9,31.121°C
10,31.496°C
11,31.745°C
12,32.057°C
13,32.557°C
14,32.869°C
15,33.056°C
16,33.181°C
17,33.305°C
18,33.368°C
19,33.43°C
20,33.493°C
21,33.493°C
22,33.555°C
23,33.555°C
24,33.555°C
25,33.555°C
26,33.617°C
27,33.617°C
28,33.617°C
29,33.617°C
30,33.617°C
31,33.617°C
32,33.617°C
33,33.742°C
34,33.617°C
35,33.305°C
36,32.993°C
37,32.744°C
38,32.494°C
39,32.245°C
40,32.12°C
41,31.995°C
42,31.87°C
43,31.808°C
44,31.87°C
45,31.808°C
46,31.433°C
47,30.996°C
48,30.684°C
49,30.434°C
50,30.247°C
51,30.06°C
52,29.873°C
53,29.685°C
54,29.56°C
55,29.56°C
56,29.997°C
57,29.685°C
58,29.186°C
59,28.811°C
60,28.499°C
61,28.311°C
62,28.124°C
63,27.999°C
64,27.874°C
65,27.749°C
66,27.812°C
67,28.186°C
68,27.937°C
69,27.562°C
70,27.187°C
71,26.937°C
72,26.75°C
73,26.625°C
74,26.5°C
75,26.437°C
76,26.312°C
77,26.187°C
78,26.437°C
79,26.25°C
80,25.937°C
81,25.562°C
82,25.25°C
83,24.938°C
84,24.75°C
85,24.562°C
86,24.375°C
87,24.187°C
88,24.062°C
89,24.312°C
90,24.125°C
91,23.875°C
92,23.562°C
93,23.375°C
94,23.187°C
95,23.062°C
96,22.874°C
97,23.625°C
98,24.312°C
99,24.938°C
100,25.125°C
101,25°C
102,24.75°C
103,23.437°C
104,22.874°C
105,22.562°C
106,22.437°C
107,22.312°C
108,22.249°C
109,22.249°C
110,22.187°C
111,22.187°C
112,22.187°C
113,22.187°C
114,22.124°C
115,22.124°C
116,22.124°C
117,22.124°C
118,22.124°C
119,22.124°C
120,22.124°C
121,22.124°C
122,22.187°C
123,22.187°C
124,22.187°C
125,22.187°C
126,22.249°C
127,22.249°C
128,22.249°C
129,22.249°C
130,22.249°C
131,22.312°C
132,22.312°C
133,22.312°C
134,22.312°C
135,22.312°C
136,22.374°C
137,22.374°C
138,22.374°C
139,22.374°C
140,22.374°C
141,22.437°C
142,22.437°C
143,22.437°C
144,22.437°C
145,22.437°C
146,22.499°C
147,22.499°C
148,22.499°C
149,22.499°C
150,22.499°C
151,22.562°C
152,22.562°C
153,22.562°C
154,22.562°C
155,22.562°C
156,22.562°C
157,22.624°C
158,22.624°C
159,22.687°C
160,22.687°C
161,22.687°C
162,22.687°C
163,22.749°C
164,22.749°C
165,22.749°C
166,22.749°C
167,22.749°C
168,22.749°C
169,22.812°C
170,22.812°C
171,22.812°C
172,22.812°C
173,22.812°C
174,22.874°C
175,22.874°C
176,22.874°C
177,22.874°C
178,22.874°C
179,22.874°C
180,22.874°C
181,22.874°C
182,22.937°C
183,22.937°C
184,22.937°C
185,22.937°C
186,22.937°C
187,23°C
