Identification,
,
 Serial Number:,F6 00000057CD56 41 
 Description:,20180523_S4002_PCP1_i10 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-10.139
 Actual temperature:,-10.125
 Reference temperature:,25.061
 Actual temperature:,24.938
,
Log Values,
Reading,Values
,
0,24.31°C
1,29.558°C
2,31.119°C
3,31.993°C
4,32.492°C
5,32.554°C
6,32.554°C
7,32.679°C
8,32.804°C
9,33.116°C
10,33.365°C
11,33.428°C
12,33.49°C
13,33.615°C
14,33.802°C
15,33.989°C
16,34.176°C
17,34.301°C
18,34.426°C
19,34.551°C
20,34.613°C
21,34.675°C
22,34.738°C
23,34.8°C
24,34.862°C
25,34.925°C
26,34.925°C
27,34.987°C
28,34.987°C
29,34.987°C
30,35.049°C
31,35.049°C
32,35.112°C
33,35.112°C
34,35.112°C
35,35.049°C
36,34.987°C
37,34.862°C
38,34.8°C
39,34.675°C
40,34.613°C
41,34.551°C
42,34.488°C
43,34.488°C
44,34.426°C
45,34.363°C
46,34.363°C
47,34.239°C
48,34.114°C
49,33.989°C
50,33.927°C
51,33.864°C
52,33.74°C
53,33.677°C
54,33.615°C
55,33.553°C
56,33.49°C
57,33.365°C
58,33.178°C
59,32.991°C
60,32.804°C
61,32.617°C
62,32.492°C
63,32.429°C
64,32.305°C
65,32.242°C
66,32.18°C
67,32.242°C
68,32.18°C
69,32.055°C
70,31.868°C
71,31.743°C
72,31.618°C
73,31.556°C
74,31.493°C
75,31.431°C
76,31.369°C
77,31.306°C
78,31.181°C
79,31.119°C
80,31.057°C
81,30.932°C
82,30.807°C
83,30.682°C
84,30.495°C
85,30.37°C
86,30.307°C
87,30.183°C
88,30.058°C
89,29.995°C
90,29.933°C
91,29.933°C
92,29.808°C
93,29.683°C
94,29.621°C
95,29.496°C
96,29.433°C
97,29.746°C
98,30.37°C
99,30.744°C
100,30.994°C
101,31.119°C
102,30.994°C
103,28.06°C
104,25.436°C
105,24.248°C
106,23.56°C
107,23.123°C
108,22.873°C
109,22.685°C
110,22.56°C
111,22.497°C
112,22.435°C
113,22.372°C
114,22.31°C
115,22.247°C
116,22.247°C
117,22.247°C
118,22.247°C
119,22.247°C
120,22.31°C
121,22.31°C
122,22.31°C
123,22.31°C
124,22.31°C
125,22.372°C
126,22.372°C
127,22.372°C
128,22.372°C
129,22.435°C
130,22.435°C
131,22.435°C
132,22.435°C
133,22.435°C
134,22.435°C
135,22.497°C
136,22.497°C
137,22.497°C
138,22.497°C
139,22.497°C
140,22.56°C
141,22.56°C
142,22.56°C
143,22.56°C
144,22.56°C
145,22.622°C
146,22.622°C
147,22.622°C
148,22.622°C
149,22.622°C
150,22.685°C
151,22.685°C
152,22.685°C
153,22.685°C
154,22.685°C
155,22.747°C
156,22.747°C
157,22.747°C
158,22.747°C
159,22.81°C
160,22.81°C
161,22.81°C
162,22.81°C
163,22.81°C
164,22.873°C
165,22.873°C
166,22.873°C
167,22.873°C
168,22.873°C
169,22.873°C
170,22.935°C
171,22.935°C
172,22.935°C
173,22.935°C
174,22.935°C
175,22.998°C
176,22.998°C
177,22.998°C
178,22.998°C
179,22.998°C
180,22.998°C
181,23.06°C
182,23.06°C
183,23.06°C
184,23.06°C
185,23.06°C
