Identification,
,
 Serial Number:,08 000000579AB8 41 
 Description:,20180523_S4002_PCP1_i18 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-10.166
 Actual temperature:,-10.125
 Reference temperature:,25.189
 Actual temperature:,25.125
,
Log Values,
Reading,Values
,
0,22.001°C
1,23.877°C
2,28.938°C
3,29.375°C
4,28.751°C
5,28.438°C
6,28.376°C
7,27.939°C
8,27.814°C
9,28.251°C
10,29.125°C
11,30.187°C
12,31.124°C
13,32.123°C
14,32.872°C
15,33.309°C
16,33.87°C
17,34.182°C
18,34.432°C
19,34.744°C
20,34.993°C
21,35.056°C
22,35.118°C
23,35.181°C
24,35.305°C
25,35.43°C
26,35.492°C
27,35.555°C
28,35.617°C
29,35.617°C
30,35.617°C
31,35.555°C
32,35.43°C
33,35.305°C
34,35.118°C
35,34.993°C
36,34.806°C
37,34.681°C
38,34.557°C
39,34.432°C
40,34.369°C
41,34.245°C
42,34.245°C
43,34.245°C
44,34.245°C
45,34.12°C
46,33.933°C
47,33.683°C
48,33.496°C
49,33.309°C
50,33.059°C
51,32.872°C
52,32.684°C
53,32.497°C
54,32.247°C
55,31.873°C
56,31.561°C
57,31.124°C
58,30.936°C
59,30.812°C
60,30.624°C
61,30.499°C
62,30.25°C
63,30.062°C
64,29.875°C
65,29.625°C
66,29.25°C
67,29.063°C
68,28.751°C
69,28.563°C
70,28.314°C
71,28.189°C
72,28.064°C
73,27.939°C
74,27.751°C
75,27.501°C
76,27.189°C
77,26.814°C
78,26.564°C
79,26.377°C
80,26.314°C
81,26.127°C
82,25.814°C
83,25.627°C
84,25.439°C
85,25.314°C
86,25.189°C
87,24.939°C
88,24.627°C
89,24.439°C
90,24.314°C
91,24.127°C
92,23.814°C
93,23.439°C
94,23.002°C
95,22.564°C
96,22.376°C
97,22.314°C
98,22.939°C
99,22.564°C
100,22.314°C
101,22.126°C
102,22.064°C
103,22.064°C
104,22.064°C
105,22.064°C
106,22.064°C
107,22.064°C
108,22.064°C
109,22.064°C
110,22.126°C
111,22.126°C
112,22.126°C
113,22.126°C
114,22.064°C
115,22.064°C
116,22.064°C
117,22.126°C
118,22.126°C
119,22.189°C
120,22.189°C
121,22.189°C
122,22.251°C
123,22.251°C
124,22.251°C
125,22.314°C
126,22.314°C
127,22.314°C
128,22.314°C
129,22.314°C
130,22.376°C
131,22.376°C
132,22.376°C
133,22.376°C
134,22.376°C
135,22.439°C
136,22.439°C
137,22.439°C
138,22.439°C
139,22.439°C
140,22.501°C
141,22.501°C
142,22.501°C
143,22.501°C
144,22.501°C
145,22.564°C
146,22.564°C
147,22.564°C
148,22.564°C
149,22.564°C
150,22.626°C
151,22.626°C
152,22.626°C
153,22.626°C
154,22.626°C
155,22.689°C
156,22.689°C
157,22.689°C
158,22.689°C
159,22.752°C
160,22.752°C
161,22.752°C
162,22.752°C
163,22.752°C
164,22.814°C
165,22.814°C
166,22.814°C
167,22.814°C
168,22.814°C
169,22.814°C
170,22.877°C
171,22.877°C
172,22.877°C
