Identification,
,
 Serial Number:,28 000000579A91 41 
 Description:,20180523_S4002_PCP1_i03 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-10.139
 Actual temperature:,-10.188
 Reference temperature:,25.061
 Actual temperature:,24.938
,
Log Values,
Reading,Values
,
0,27.248°C
1,29.434°C
2,30.496°C
3,31.058°C
4,31.433°C
5,31.433°C
6,31.496°C
7,31.683°C
8,31.995°C
9,32.557°C
10,33.057°C
11,33.369°C
12,33.556°C
13,33.681°C
14,33.806°C
15,33.868°C
16,33.931°C
17,33.931°C
18,33.993°C
19,33.993°C
20,33.993°C
21,33.993°C
22,34.056°C
23,34.056°C
24,34.056°C
25,34.056°C
26,34.056°C
27,34.056°C
28,34.056°C
29,33.993°C
30,33.993°C
31,33.993°C
32,33.993°C
33,33.993°C
34,33.993°C
35,33.868°C
36,33.556°C
37,33.369°C
38,33.119°C
39,32.932°C
40,32.744°C
41,32.557°C
42,32.432°C
43,32.307°C
44,32.182°C
45,32.12°C
46,31.933°C
47,31.558°C
48,31.246°C
49,31.058°C
50,30.809°C
51,30.621°C
52,30.434°C
53,30.184°C
54,29.997°C
55,29.872°C
56,29.934°C
57,29.872°C
58,29.622°C
59,29.309°C
60,29.06°C
61,28.81°C
62,28.685°C
63,28.497°C
64,28.372°C
65,28.185°C
66,28.122°C
67,28.185°C
68,28.06°C
69,27.81°C
70,27.56°C
71,27.31°C
72,27.06°C
73,26.873°C
74,26.748°C
75,26.685°C
76,26.56°C
77,26.498°C
78,26.623°C
79,26.748°C
80,26.748°C
81,26.56°C
82,26.435°C
83,26.185°C
84,25.998°C
85,25.811°C
86,25.748°C
87,25.623°C
88,25.561°C
89,25.561°C
90,25.436°C
91,25.248°C
92,24.998°C
93,24.873°C
94,24.748°C
95,24.623°C
96,24.498°C
97,24.936°C
98,25.811°C
99,26.435°C
100,26.81°C
101,27.123°C
102,27.435°C
103,26.81°C
104,24.623°C
105,23.623°C
106,23.06°C
107,22.748°C
108,22.498°C
109,22.373°C
110,22.248°C
111,22.248°C
112,22.185°C
113,22.185°C
114,22.123°C
115,22.06°C
116,22.06°C
117,22.06°C
118,22.06°C
119,22.06°C
120,22.123°C
121,22.123°C
122,22.123°C
123,22.123°C
124,22.185°C
125,22.185°C
126,22.185°C
127,22.185°C
128,22.248°C
129,22.248°C
130,22.248°C
131,22.248°C
132,22.31°C
133,22.31°C
134,22.31°C
135,22.31°C
136,22.31°C
137,22.373°C
138,22.373°C
139,22.373°C
140,22.373°C
141,22.373°C
142,22.435°C
143,22.435°C
144,22.435°C
145,22.435°C
146,22.435°C
147,22.498°C
148,22.498°C
149,22.498°C
150,22.498°C
151,22.498°C
152,22.498°C
153,22.56°C
154,22.56°C
155,22.56°C
156,22.56°C
157,22.623°C
158,22.623°C
159,22.623°C
160,22.685°C
161,22.685°C
162,22.685°C
163,22.685°C
164,22.748°C
165,23.435°C
