Identification,
,
 Serial Number:,7E 00000057CCA7 41 
 Description:,20180523_S4002_PCP1_i06 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.996
 Actual temperature:,-9
 Reference temperature:,25.887
 Actual temperature:,25.75
,
Log Values,
Reading,Values
,
0,28.074°C
1,29.073°C
2,29.51°C
3,29.76°C
4,29.885°C
5,29.822°C
6,29.76°C
7,29.822°C
8,29.822°C
9,29.822°C
10,29.822°C
11,29.76°C
12,30.134°C
13,30.759°C
14,31.133°C
15,31.508°C
16,31.758°C
17,32.007°C
18,32.132°C
19,32.257°C
20,32.382°C
21,32.506°C
22,32.569°C
23,32.631°C
24,32.694°C
25,32.756°C
26,32.818°C
27,32.881°C
28,32.881°C
29,32.943°C
30,32.943°C
31,33.006°C
32,33.006°C
33,32.881°C
34,32.943°C
35,32.818°C
36,32.694°C
37,32.506°C
38,32.319°C
39,32.132°C
40,32.007°C
41,31.82°C
42,31.695°C
43,31.633°C
44,31.508°C
45,31.508°C
46,31.383°C
47,31.133°C
48,30.884°C
49,30.696°C
50,30.509°C
51,30.259°C
52,30.072°C
53,29.885°C
54,29.697°C
55,29.51°C
56,29.385°C
57,29.448°C
58,29.26°C
59,29.073°C
60,28.886°C
61,28.698°C
62,28.511°C
63,28.323°C
64,28.136°C
65,27.949°C
66,27.824°C
67,27.699°C
68,27.636°C
69,27.449°C
70,27.261°C
71,27.074°C
72,26.887°C
73,26.762°C
74,26.574°C
75,26.449°C
76,26.324°C
77,26.324°C
78,26.199°C
79,26.137°C
80,26.012°C
81,25.762°C
82,25.512°C
83,25.262°C
84,25.074°C
85,24.887°C
86,24.699°C
87,24.512°C
88,24.324°C
89,24.199°C
90,24.074°C
91,23.949°C
92,23.761°C
93,23.636°C
94,23.511°C
95,23.324°C
96,23.136°C
97,23.449°C
98,23.886°C
99,24.074°C
100,23.324°C
101,22.823°C
102,22.511°C
103,22.386°C
104,22.26°C
105,22.26°C
106,22.198°C
107,22.198°C
108,22.198°C
109,22.198°C
110,22.26°C
111,22.26°C
112,22.26°C
113,22.26°C
114,22.26°C
115,22.198°C
116,22.198°C
117,22.26°C
118,22.26°C
119,22.323°C
120,22.323°C
121,22.323°C
122,22.386°C
123,22.386°C
124,22.386°C
125,22.448°C
126,22.448°C
127,22.448°C
128,22.511°C
129,22.511°C
130,22.511°C
131,22.511°C
132,22.511°C
133,22.573°C
134,22.573°C
135,22.573°C
136,22.573°C
137,22.636°C
138,22.636°C
139,22.636°C
140,22.636°C
141,22.636°C
142,22.698°C
143,22.698°C
144,22.698°C
145,22.761°C
146,22.761°C
147,22.761°C
148,22.761°C
149,22.761°C
150,22.761°C
151,22.823°C
152,22.823°C
153,22.823°C
154,22.823°C
155,22.823°C
156,22.886°C
157,22.886°C
158,22.886°C
159,22.886°C
160,22.886°C
161,22.886°C
162,22.948°C
163,22.948°C
164,22.948°C
165,22.948°C
166,22.948°C
167,22.948°C
168,23.011°C
169,23.011°C
170,23.011°C
171,23.011°C
172,23.074°C
