"s","level","shiver"
4500.41,34,0
4501.27,34,1
4502.56,34,0
4507.50,33,0
4526.20,33,1
4527.41,33,0
4530.41,33,0
4531.25,33,1
4531.71,33,0
4535.24,33,1
4535.69,33,0
4560.41,33,0
4572.07,33,1
4572.38,33,0
4590.41,33,0
4620.41,33,0
4640.58,33,1
4641.16,33,0
4650.41,33,0
4680.41,33,0
4710.41,33,0
4740.41,33,0
4770.41,33,0
4800.41,33,0
4810.22,32,0
4822.89,31,0
4824.75,30,0
4829.42,30,1
4830.33,30,0
4830.41,30,0
4845.69,29,0
4856.45,29,1
4857.13,29,0
4858.03,28,0
4860.42,28,0
4871.36,27,0
4886.02,26,0
4887.61,26,1
4888.29,26,0
4888.88,27,0
4890.42,27,0
4914.63,27,1
4915.72,27,0
4920.42,27,0
4927.08,27,1
4928.00,27,0
4929.79,27,1
4930.59,27,0
4950.41,27,0
4980.41,27,0
5010.40,27,0
5040.40,27,0
5053.38,27,1
5053.92,27,0
5070.39,27,0
5080.68,27,1
5081.16,27,0
5100.39,27,0
5108.88,27,1
5109.18,27,0
5130.38,27,0
5160.38,27,0
5165.47,27,1
5165.96,27,0
5173.93,26,0
5179.04,26,1
5179.57,26,0
5184.42,26,1
5185.76,26,0
5190.37,26,0
5220.37,26,0
5222.96,25,0
5227.34,25,1
5228.63,25,0
5250.36,25,0
5262.06,25,1
5262.74,25,0
5279.41,25,1
5280.26,25,0
5280.36,25,0
5286.41,25,1
5287.82,25,0
5310.36,25,0
5310.86,25,1
5311.29,25,0
5320.39,24,0
5340.36,24,0
5370.36,24,0
5400.35,24,0
5424.64,24,1
5425.03,24,0
5430.35,24,0
5458.99,24,1
5459.41,24,0
5460.35,24,0
5476.44,23,0
5477.53,22,0
5478.01,21,0
5478.47,20,0
5490.35,20,0
5507.56,20,1
5508.35,20,0
5519.93,20,1
5520.34,20,1
5521.22,20,0
5527.19,20,1
5528.15,20,0
5541.79,20,1
5542.70,20,0
5550.05,20,1
5550.34,20,1
5551.85,20,0
5554.43,20,1
5557.02,20,0
5567.13,20,1
5567.79,20,0
5568.55,20,1
5570.62,20,0
5572.35,20,1
5574.73,20,0
5580.34,20,0
5610.34,20,0
5624.39,20,1
5626.47,20,0
5631.89,20,1
5633.09,20,0
5640.34,20,0
5641.51,20,1
5642.44,20,0
5661.58,20,1
5662.48,20,0
5669.68,20,1
5670.33,20,1
5670.83,20,0
5677.82,20,1
5678.85,20,0
5700.32,20,1
5700.34,20,1
5700.80,20,0
5728.26,20,1
5729.20,20,0
5730.33,20,0
5732.19,20,1
5732.66,20,0
5747.04,20,1
5747.51,20,0
5749.50,20,1
5749.82,20,0
5754.13,20,1
5755.67,20,0
5760.33,20,0
5779.38,20,1
5782.16,20,0
5790.33,20,0
5802.53,20,1
5804.60,20,0
5820.32,20,0
5833.05,20,1
5833.75,20,0
5842.06,20,1
5843.49,20,0
5850.32,20,0
5856.56,20,1
5857.12,20,0
5880.32,20,0
5907.62,20,1
5909.15,20,0
5910.32,20,0
5919.69,20,1
5920.74,20,0
5939.65,20,1
5940.31,20,1
5942.26,20,0
5970.31,20,0
5973.12,20,1
5974.61,20,0
5987.99,20,1
5990.07,20,0
6000.31,20,0
6017.96,20,1
6018.89,20,0
6023.29,20,1
6024.36,20,0
6030.31,20,0
6060.31,20,0
6078.90,20,1
6079.43,20,0
6090.30,20,0
6102.16,20,1
6102.73,20,0
6105.22,20,1
6106.18,20,0
6115.59,20,1
6116.46,20,0
6120.30,20,0
6138.09,20,1
6139.05,20,0
6150.30,20,0
6170.38,20,1
6170.93,20,0
6173.32,20,1
6175.42,20,0
6180.30,20,0
6180.99,19,0
6184.27,19,1
6186.13,19,0
6187.27,18,0
6191.55,18,1
6192.56,18,0
6193.49,18,1
6194.28,18,0
6200.66,18,1
6202.25,18,0
6203.32,18,1
6204.21,18,0
6205.08,17,0
6206.15,17,1
6207.74,17,0
6210.30,17,0
6216.34,17,1
6218.66,17,0
6233.59,16,0
6234.89,16,1
6237.40,16,0
6240.29,16,0
6246.53,16,1
6248.84,16,0
6250.10,15,0
6260.06,15,1
6261.61,15,0
6268.49,15,1
6270.29,15,1
6271.28,15,0
6278.09,15,1
6279.98,15,0
6285.13,15,1
6285.49,15,0
6286.55,15,1
6287.52,15,0
6300.29,15,0
6303.07,15,1
6303.95,15,0
6306.05,15,1
6308.82,15,0
6311.41,15,1
6313.52,15,0
6316.26,14,0
6323.19,14,1
6326.48,14,0
6327.49,14,1
6330.29,14,1
6330.76,14,0
6344.06,14,1
6344.71,14,0
6348.12,14,1
6348.73,14,0
6350.87,14,1
6352.42,14,0
6360.28,14,0
6360.70,14,1
6362.60,14,0
6368.56,13,0
6372.00,13,1
6374.17,13,0
6381.49,13,1
6383.25,13,0
6385.24,13,1
6386.88,13,0
6390.28,13,0
6392.71,13,1
6394.99,13,0
6399.21,13,1
6400.17,13,0
6402.56,12,0
6404.69,12,1
6410.20,12,0
6416.25,12,1
6419.46,12,0
6420.28,12,0
6428.42,12,1
6429.93,12,0
6430.98,12,1
6437.74,12,0
6441.10,11,0
6443.72,11,1
6447.09,11,0
6447.91,11,1
6450.28,11,1
6455.52,10,1
6456.63,10,0
6462.81,10,1
6466.73,10,0
6473.31,10,1
6475.61,10,0
6480.28,10,0
6482.54,10,1
6484.24,10,0
6491.51,10,1
6494.50,10,0
6497.63,10,1
6499.21,10,0
6500.92,10,1
6504.52,10,0
6510.27,10,0
6514.46,10,1
6520.52,10,0
6535.39,10,1
6536.18,10,0
6537.62,10,1
6539.78,10,0
6540.27,10,0
6540.63,10,1
6542.82,10,0
6545.81,10,1
6548.50,10,0
6555.41,10,1
6558.39,10,0
6560.83,10,1
6564.01,10,0
6570.27,10,0
6573.32,10,1
6576.53,10,0
6580.34,10,1
6584.99,10,0
6592.35,10,1
6597.77,10,0
6600.27,10,0
6607.57,10,1
6613.00,10,0
6619.62,10,1
6622.72,10,0
6628.72,10,1
6630.27,10,1
6631.63,10,0
6635.20,10,1
6643.15,10,0
6645.07,10,1
6647.48,10,0
6655.80,10,1
6657.47,10,0
6660.26,10,0
6660.65,10,1
6666.52,10,0
6673.37,10,1
6674.26,10,0
6686.04,10,1
6690.26,10,1
6691.13,10,0
6704.02,10,1
6704.43,10,0
6720.26,10,0
6747.70,10,1
6750.26,10,1
6751.06,10,0
6767.76,10,1
6770.09,10,0
6775.41,10,1
6777.39,10,0
6780.25,10,0
6782.72,10,1
6786.38,10,0
6789.27,10,1
6796.25,10,0
6798.73,10,1
6804.43,10,0
6806.22,10,1
6809.77,10,0
6810.25,10,0
6811.23,10,1
6817.43,10,0
6821.03,10,1
6822.49,10,0
6823.34,10,1
6825.50,10,0
6832.97,10,1
6840.25,10,1
6843.15,10,0
6844.09,10,1
6855.15,9,1
6868.12,9,0
6870.25,9,0
6871.75,9,1
6878.34,9,0
6879.75,8,0
6884.43,8,1
6888.37,8,0
6892.34,8,1
6900.25,8,1
6911.46,8,0
6917.00,8,1
6924.88,8,0
6926.00,8,1
6929.21,8,0
6930.22,7,0
6930.25,7,0
6932.37,7,1
6945.40,7,0
6946.74,7,1
6952.36,6,1
6958.21,6,0
6960.24,6,0
6961.77,6,1
6984.05,5,1
6990.24,5,1
6993.77,5,0
6999.75,5,1
7014.93,5,0
7016.82,5,1
7020.24,5,1
7026.71,5,0
7029.75,5,1
7050.24,5,1
7053.79,5,0
7056.77,5,1
7080.24,5,1
7090.23,5,0
7092.82,5,1
7110.25,5,1
7140.25,5,1
7141.73,5,0
7144.56,5,1
7151.45,4,1
7158.86,4,0
7170.25,4,0
