"s","level","shiver"
0.01,50,0
2310.48,50,0
2340.47,50,0
2370.47,50,0
2400.47,50,0
2430.47,50,0
2460.46,50,0
2490.46,50,0
2520.46,50,0
2550.46,50,0
2580.45,50,0
2610.45,50,0
2640.45,50,0
2670.45,50,0
2700.45,50,0
2730.44,50,0
2760.45,50,0
2790.45,50,0
2820.45,50,0
2850.45,50,0
2880.45,50,0
2910.45,50,0
2940.44,50,0
2970.44,50,0
3000.44,50,0
3030.44,50,0
3060.43,50,0
3090.43,50,0
3120.43,50,0
3150.43,50,0
3180.43,50,0
3210.42,50,0
3240.42,50,0
3270.42,50,0
3300.42,50,0
3330.42,50,0
3360.41,50,0
3390.41,50,0
3420.41,50,0
3430.62,49,0
3450.41,49,0
3455.74,48,0
3480.41,48,0
3510.40,48,0
3540.40,48,0
3557.12,47,0
3570.40,47,0
3600.40,47,0
3608.31,46,0
3630.39,46,0
3631.12,45,0
3660.39,45,0
3690.39,45,0
3697.86,44,0
3720.39,44,0
3750.39,44,0
3780.38,44,0
3810.39,44,0
3827.49,44,1
3828.01,44,0
3840.39,44,0
3870.39,44,0
3900.39,44,0
3930.39,44,0
3960.39,44,0
3990.39,44,0
4020.39,44,0
4050.39,44,0
4080.39,44,0
4110.39,44,0
4130.04,43,0
4130.72,42,0
4131.23,41,0
4134.40,40,0
4140.39,40,0
4170.40,40,0
4172.84,40,1
4174.10,40,0
4175.84,40,1
4177.38,40,0
4181.57,40,1
4182.16,40,0
4200.40,40,0
4209.03,40,1
4209.93,40,0
4211.61,39,0
4227.43,38,0
4230.40,38,0
4260.40,38,0
4272.71,37,0
4290.40,37,0
4292.86,37,1
4293.89,37,0
4320.40,37,0
4321.48,37,1
4322.54,37,0
4326.19,36,0
4331.40,35,0
4341.13,35,1
4341.75,35,0
4350.40,35,0
4373.58,34,0
4380.40,34,0
4386.72,34,1
4388.29,34,0
4410.40,34,0
4439.49,35,0
4440.40,35,0
4470.40,35,0
4471.56,35,1
4472.74,35,0
4480.37,34,0
