Identification,
,
 Serial Number:,E1 000000579529 41 
 Description:,20180523_S4002_PCP1_i14 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.809
 Actual temperature:,-8.813
 Reference temperature:,25.979
 Actual temperature:,25.875
,
Log Values,
Reading,Values
,
0,21.977°C
1,26.916°C
2,28.915°C
3,29.602°C
4,29.915°C
5,29.727°C
6,29.54°C
7,29.665°C
8,29.727°C
9,29.915°C
10,30.102°C
11,30.227°C
12,30.539°C
13,30.726°C
14,30.914°C
15,31.101°C
16,31.226°C
17,31.288°C
18,31.413°C
19,31.476°C
20,31.538°C
21,31.601°C
22,31.601°C
23,31.663°C
24,31.663°C
25,31.725°C
26,31.725°C
27,31.788°C
28,31.788°C
29,31.788°C
30,31.85°C
31,31.85°C
32,31.85°C
33,31.85°C
34,31.725°C
35,31.476°C
36,31.288°C
37,31.039°C
38,30.851°C
39,30.726°C
40,30.539°C
41,30.414°C
42,30.352°C
43,30.289°C
44,30.227°C
45,30.102°C
46,29.727°C
47,29.477°C
48,29.227°C
49,29.04°C
50,28.79°C
51,28.603°C
52,28.415°C
53,28.228°C
54,28.103°C
55,28.041°C
56,27.916°C
57,27.603°C
58,27.228°C
59,27.041°C
60,26.853°C
61,26.666°C
62,26.541°C
63,26.416°C
64,26.353°C
65,26.229°C
66,26.166°C
67,26.041°C
68,25.729°C
69,25.416°C
70,25.166°C
71,25.041°C
72,24.916°C
73,24.791°C
74,24.666°C
75,24.541°C
76,24.478°C
77,24.416°C
78,24.416°C
79,24.353°C
80,24.228°C
81,24.041°C
82,23.791°C
83,23.541°C
84,23.353°C
85,23.165°C
86,22.978°C
87,22.79°C
88,22.603°C
89,22.665°C
90,22.353°C
91,22.102°C
92,21.915°C
93,21.79°C
94,21.727°C
95,21.665°C
96,21.727°C
97,22.29°C
98,23.228°C
99,23.853°C
100,24.291°C
101,24.478°C
102,24.603°C
103,23.978°C
104,23.291°C
105,22.915°C
106,22.665°C
107,22.478°C
108,22.415°C
109,22.353°C
110,22.29°C
111,22.228°C
112,22.228°C
113,22.228°C
114,22.228°C
115,22.165°C
116,22.102°C
117,22.165°C
118,22.165°C
119,22.165°C
120,22.228°C
121,22.228°C
122,22.228°C
123,22.29°C
124,22.29°C
125,22.29°C
126,22.353°C
127,22.353°C
128,22.353°C
129,22.353°C
130,22.415°C
131,22.415°C
132,22.415°C
133,22.415°C
134,22.415°C
135,22.478°C
136,22.478°C
137,22.478°C
138,22.478°C
139,22.478°C
140,22.54°C
141,22.54°C
142,22.54°C
143,22.54°C
144,22.54°C
145,22.603°C
146,22.603°C
147,22.603°C
148,22.603°C
149,22.603°C
150,22.665°C
151,22.665°C
152,22.665°C
153,22.665°C
154,22.665°C
155,22.728°C
156,22.728°C
157,22.728°C
158,22.728°C
159,22.79°C
160,22.79°C
161,22.79°C
162,22.79°C
163,22.853°C
164,22.853°C
165,22.853°C
166,22.853°C
167,22.853°C
168,22.853°C
169,22.915°C
170,22.915°C
171,22.915°C
172,22.915°C
173,22.915°C
174,22.915°C
175,22.978°C
176,22.978°C
177,22.978°C
178,22.978°C
179,22.978°C
180,23.04°C
181,23.04°C
182,23.04°C
183,23.04°C
184,23.04°C
185,23.04°C
186,23.103°C
