Identification,
,
 Serial Number:,6D 00000057CDB0 41 
 Description:,20180523_S4002_PCP1_i04 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.891
 Actual temperature:,-8.938
 Reference temperature:,25.879
 Actual temperature:,25.75
,
Log Values,
Reading,Values
,
0,30.252°C
1,31.002°C
2,31.314°C
3,31.502°C
4,31.564°C
5,31.502°C
6,31.189°C
7,30.94°C
8,31.064°C
9,31.377°C
10,31.626°C
11,32.251°C
12,32.563°C
13,32.813°C
14,33°C
15,33.125°C
16,33.25°C
17,33.312°C
18,33.375°C
19,33.437°C
20,33.5°C
21,33.5°C
22,33.562°C
23,33.625°C
24,33.625°C
25,33.625°C
26,33.687°C
27,33.687°C
28,33.687°C
29,33.687°C
30,33.749°C
31,33.749°C
32,33.625°C
33,33.562°C
34,33.562°C
35,33.5°C
36,33.437°C
37,33.312°C
38,33.25°C
39,33.125°C
40,33.063°C
41,33°C
42,33°C
43,32.938°C
44,32.75°C
45,32.75°C
46,32.688°C
47,32.626°C
48,32.501°C
49,32.438°C
50,32.313°C
51,32.251°C
52,32.188°C
53,32.126°C
54,32.001°C
55,31.876°C
56,31.502°C
57,31.502°C
58,31.377°C
59,31.252°C
60,31.127°C
61,31.002°C
62,30.877°C
63,30.752°C
64,30.627°C
65,30.502°C
66,30.502°C
67,30.502°C
68,30.565°C
69,30.502°C
70,30.44°C
71,30.377°C
72,30.252°C
73,30.19°C
74,30.065°C
75,30.003°C
76,29.94°C
77,29.878°C
78,29.815°C
79,29.878°C
80,29.815°C
81,29.753°C
82,29.69°C
83,29.628°C
84,29.628°C
85,29.565°C
86,29.503°C
87,29.44°C
88,29.378°C
89,29.316°C
90,29.316°C
91,29.316°C
92,29.253°C
93,29.253°C
94,29.191°C
95,29.191°C
96,29.191°C
97,29.253°C
98,28.004°C
99,25.316°C
100,24.066°C
101,23.316°C
102,22.816°C
103,22.566°C
104,22.378°C
105,22.316°C
106,22.253°C
107,22.191°C
108,22.191°C
109,22.191°C
110,22.191°C
111,22.191°C
112,22.191°C
113,22.191°C
114,22.191°C
115,22.128°C
116,22.128°C
117,22.128°C
118,22.128°C
119,22.191°C
120,22.191°C
121,22.253°C
122,22.253°C
123,22.253°C
124,22.253°C
125,22.253°C
126,22.316°C
127,22.316°C
128,22.316°C
129,22.316°C
130,22.378°C
131,22.378°C
132,22.378°C
133,22.378°C
134,22.378°C
135,22.441°C
136,22.441°C
137,22.441°C
138,22.441°C
139,22.503°C
140,22.503°C
141,22.503°C
142,22.503°C
143,22.503°C
144,22.503°C
145,22.566°C
146,22.566°C
147,22.566°C
148,22.566°C
149,22.628°C
150,22.628°C
151,22.628°C
152,22.628°C
153,22.628°C
154,22.628°C
155,22.691°C
156,22.691°C
157,23.379°C
158,23.566°C
159,23.629°C
160,23.629°C
161,23.691°C
162,23.691°C
