Identification,
,
 Serial Number:,7E 00000057C9DA 41 
 Description:,20180523_S4002_PCP1_i13 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-10.006
 Actual temperature:,-10
 Reference temperature:,24.813
 Actual temperature:,24.688
,
Log Values,
Reading,Values
,
0,21.874°C
1,21.936°C
2,25.437°C
3,27.562°C
4,28.374°C
5,28.686°C
6,28.936°C
7,29.436°C
8,29.935°C
9,31.184°C
10,31.933°C
11,32.432°C
12,32.681°C
13,32.931°C
14,33.056°C
15,33.181°C
16,33.243°C
17,33.243°C
18,33.243°C
19,33.305°C
20,33.305°C
21,33.305°C
22,33.305°C
23,33.305°C
24,33.305°C
25,33.305°C
26,33.305°C
27,33.305°C
28,33.305°C
29,33.305°C
30,33.305°C
31,33.305°C
32,33.305°C
33,33.305°C
34,33.056°C
35,32.557°C
36,32.182°C
37,31.87°C
38,31.496°C
39,31.246°C
40,31.059°C
41,30.871°C
42,30.747°C
43,30.684°C
44,30.559°C
45,30.372°C
46,29.81°C
47,29.373°C
48,29.061°C
49,28.749°C
50,28.499°C
51,28.249°C
52,27.999°C
53,27.749°C
54,27.562°C
55,27.437°C
56,27.437°C
57,27.062°C
58,26.562°C
59,26.25°C
60,26°C
61,25.75°C
62,25.562°C
63,25.375°C
64,25.188°C
65,25.063°C
66,24.875°C
67,24.875°C
68,24.562°C
69,24.125°C
70,23.812°C
71,23.562°C
72,23.375°C
73,23.25°C
74,23.125°C
75,23°C
76,22.874°C
77,22.749°C
78,22.562°C
79,22.499°C
80,22.187°C
81,21.936°C
82,21.561°C
83,21.311°C
84,21.123°C
85,20.873°C
86,20.623°C
87,20.498°C
88,20.31°C
89,20.185°C
90,20.122°C
91,19.935°C
92,19.809°C
93,19.622°C
94,19.497°C
95,19.371°C
96,19.246°C
97,19.434°C
98,20.498°C
99,21.248°C
100,21.811°C
101,22.187°C
102,22.437°C
103,22.812°C
104,22.624°C
105,21.999°C
106,21.874°C
107,21.811°C
108,21.874°C
109,21.874°C
110,21.874°C
111,21.874°C
112,21.936°C
113,21.936°C
114,21.936°C
115,21.874°C
116,21.874°C
117,21.936°C
118,21.936°C
119,21.936°C
120,21.999°C
121,21.999°C
122,22.062°C
123,22.124°C
124,22.124°C
125,22.124°C
126,22.187°C
127,22.187°C
128,22.249°C
129,22.249°C
130,22.249°C
131,22.312°C
132,22.312°C
133,22.312°C
134,22.312°C
135,22.374°C
136,22.374°C
137,22.374°C
138,22.374°C
139,22.437°C
140,22.437°C
141,22.437°C
142,22.437°C
143,22.437°C
144,22.499°C
145,22.499°C
146,22.499°C
147,22.499°C
148,22.499°C
149,22.562°C
150,22.562°C
151,22.562°C
152,22.562°C
153,22.562°C
154,22.624°C
155,22.624°C
156,22.624°C
157,22.624°C
158,22.687°C
159,22.687°C
160,22.687°C
161,22.687°C
162,22.749°C
163,22.749°C
164,22.749°C
165,22.749°C
166,22.749°C
