Identification,
,
 Serial Number:,2D 00000057CCFB 41 
 Description:,20180523_S4002_PCP1_i11 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.725
 Actual temperature:,-8.688
 Reference temperature:,25.951
 Actual temperature:,25.875
,
Log Values,
Reading,Values
,
0,22.012°C
1,22.2°C
2,28.013°C
3,29.825°C
4,30.699°C
5,31.011°C
6,31.073°C
7,31.386°C
8,31.76°C
9,32.447°C
10,32.884°C
11,33.196°C
12,33.383°C
13,33.57°C
14,33.757°C
15,33.82°C
16,33.945°C
17,33.945°C
18,34.007°C
19,34.007°C
20,34.069°C
21,34.069°C
22,34.132°C
23,34.132°C
24,34.132°C
25,34.132°C
26,34.194°C
27,34.194°C
28,34.194°C
29,34.194°C
30,34.194°C
31,34.194°C
32,34.194°C
33,34.194°C
34,34.069°C
35,33.695°C
36,33.508°C
37,33.258°C
38,33.009°C
39,32.759°C
40,32.634°C
41,32.447°C
42,32.322°C
43,32.26°C
44,32.135°C
45,32.01°C
46,31.635°C
47,31.261°C
48,31.011°C
49,30.761°C
50,30.511°C
51,30.262°C
52,30.074°C
53,29.825°C
54,29.637°C
55,29.45°C
56,29.387°C
57,29.138°C
58,28.7°C
59,28.388°C
60,28.138°C
61,27.888°C
62,27.701°C
63,27.513°C
64,27.326°C
65,27.138°C
66,26.951°C
67,26.889°C
68,26.639°C
69,26.326°C
70,26.076°C
71,25.826°C
72,25.639°C
73,25.451°C
74,25.326°C
75,25.201°C
76,25.076°C
77,24.951°C
78,24.826°C
79,24.701°C
80,24.451°C
81,24.201°C
82,23.888°C
83,23.638°C
84,23.451°C
85,23.263°C
86,23.013°C
87,22.888°C
88,22.7°C
89,22.575°C
90,22.513°C
91,22.325°C
92,22.137°C
93,22.012°C
94,21.825°C
95,21.7°C
96,21.575°C
97,21.637°C
98,22.137°C
99,22.7°C
100,23.138°C
101,23.388°C
102,23.263°C
103,22.7°C
104,22.45°C
105,22.325°C
106,22.2°C
107,22.137°C
108,22.137°C
109,22.137°C
110,22.137°C
111,22.137°C
112,22.137°C
113,22.137°C
114,22.137°C
115,22.075°C
116,22.075°C
117,22.075°C
118,22.075°C
119,22.137°C
120,22.137°C
121,22.137°C
122,22.2°C
123,22.2°C
124,22.2°C
125,22.263°C
126,22.263°C
127,22.263°C
128,22.263°C
129,22.325°C
130,22.325°C
131,22.325°C
132,22.325°C
133,22.388°C
134,22.388°C
135,22.388°C
136,22.388°C
137,22.388°C
138,22.45°C
139,22.45°C
140,22.45°C
141,22.45°C
142,22.45°C
143,22.513°C
144,22.513°C
145,22.513°C
146,22.513°C
147,22.575°C
148,22.575°C
149,22.575°C
150,22.575°C
151,22.575°C
152,22.638°C
153,22.638°C
154,22.638°C
155,22.638°C
156,22.638°C
157,22.7°C
158,22.7°C
159,22.7°C
160,22.7°C
161,22.763°C
162,22.763°C
163,22.763°C
164,22.763°C
165,22.763°C
166,22.825°C
167,22.825°C
168,22.825°C
169,22.825°C
170,22.825°C
171,22.825°C
172,22.888°C
173,22.888°C
174,22.888°C
175,22.888°C
176,22.888°C
177,22.888°C
178,22.888°C
179,22.95°C
180,22.95°C
181,22.95°C
182,22.95°C
183,22.95°C
184,23.013°C
185,23.013°C
186,23.013°C
187,23.013°C
188,23.013°C
