Identification,
,
 Serial Number:,03 00000057CDB2 41 
 Description:,20180523_S4002_PCP1_i07 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-10.006
 Actual temperature:,-10
 Reference temperature:,24.813
 Actual temperature:,24.688
,
Log Values,
Reading,Values
,
0,21.999°C
1,25.375°C
2,26.75°C
3,27.312°C
4,27.624°C
5,27.499°C
6,27.437°C
7,27.562°C
8,27.562°C
9,27.624°C
10,27.624°C
11,27.624°C
12,28.374°C
13,29.186°C
14,29.81°C
15,30.185°C
16,30.497°C
17,30.684°C
18,30.871°C
19,31.059°C
20,31.184°C
21,31.371°C
22,31.496°C
23,31.62°C
24,31.745°C
25,31.933°C
26,31.995°C
27,32.12°C
28,32.245°C
29,32.369°C
30,32.494°C
31,32.557°C
32,32.681°C
33,32.806°C
34,32.806°C
35,32.494°C
36,32.245°C
37,32.057°C
38,31.808°C
39,31.62°C
40,31.433°C
41,31.308°C
42,31.184°C
43,31.121°C
44,31.184°C
45,31.246°C
46,30.871°C
47,30.434°C
48,30.247°C
49,29.935°C
50,29.685°C
51,29.373°C
52,29.186°C
53,28.936°C
54,28.811°C
55,28.811°C
56,28.998°C
57,28.686°C
58,28.124°C
59,27.812°C
60,27.812°C
61,27.687°C
62,27.562°C
63,27.374°C
64,27.187°C
65,27°C
66,27°C
67,26.937°C
68,26.437°C
69,25.937°C
70,25.562°C
71,25.312°C
72,25.25°C
73,25.125°C
74,25.063°C
75,24.875°C
76,24.812°C
77,24.687°C
78,24.938°C
79,24.75°C
80,24.562°C
81,24.312°C
82,23.937°C
83,23.5°C
84,23.125°C
85,22.749°C
86,22.499°C
87,22.312°C
88,22.374°C
89,22.312°C
90,21.999°C
91,21.624°C
92,21.374°C
93,21.248°C
94,21.123°C
95,20.936°C
96,20.748°C
97,21.436°C
98,22.624°C
99,23.125°C
100,22.749°C
101,22.437°C
102,22.187°C
103,22.124°C
104,22.124°C
105,22.062°C
106,22.062°C
107,22.062°C
108,22.124°C
109,22.124°C
110,22.124°C
111,22.187°C
112,22.187°C
113,22.187°C
114,22.187°C
115,22.124°C
116,22.124°C
117,22.187°C
118,22.187°C
119,22.249°C
120,22.249°C
121,22.249°C
122,22.312°C
123,22.312°C
124,22.374°C
125,22.374°C
126,22.374°C
127,22.437°C
128,22.437°C
129,22.437°C
130,22.437°C
131,22.499°C
132,22.499°C
133,22.499°C
134,22.499°C
135,22.499°C
136,22.562°C
137,22.562°C
138,22.562°C
139,22.562°C
140,22.562°C
141,22.624°C
142,22.624°C
143,22.624°C
144,22.624°C
145,22.687°C
146,22.687°C
147,22.687°C
148,22.687°C
149,22.687°C
150,22.687°C
151,22.749°C
152,22.749°C
153,22.749°C
154,22.749°C
155,22.749°C
156,22.812°C
157,22.812°C
158,22.812°C
159,22.812°C
160,22.812°C
161,22.812°C
162,22.812°C
163,22.812°C
164,22.874°C
165,22.874°C
166,22.874°C
167,22.874°C
168,22.874°C
169,22.874°C
