Identification,
,
 Serial Number:,23 000000579E2F 41 
 Description:,20180523_S4002_PCP1_i05 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.996
 Actual temperature:,-9
 Reference temperature:,25.887
 Actual temperature:,25.75
,
Log Values,
Reading,Values
,
0,25.012°C
1,28.074°C
2,29.385°C
3,30.134°C
4,30.322°C
5,30.447°C
6,30.509°C
7,30.572°C
8,30.634°C
9,31.009°C
10,31.445°C
11,31.508°C
12,31.82°C
13,32.257°C
14,32.631°C
15,32.881°C
16,33.13°C
17,33.255°C
18,33.38°C
19,33.505°C
20,33.567°C
21,33.692°C
22,33.754°C
23,33.817°C
24,33.817°C
25,33.879°C
26,33.942°C
27,33.942°C
28,34.004°C
29,34.066°C
30,34.066°C
31,34.129°C
32,34.066°C
33,34.004°C
34,34.004°C
35,33.942°C
36,33.879°C
37,33.754°C
38,33.692°C
39,33.567°C
40,33.442°C
41,33.38°C
42,33.255°C
43,33.193°C
44,33.068°C
45,33.006°C
46,32.943°C
47,32.756°C
48,32.569°C
49,32.382°C
50,32.194°C
51,32.07°C
52,31.882°C
53,31.695°C
54,31.57°C
55,31.383°C
56,31.196°C
57,31.009°C
58,30.696°C
59,30.384°C
60,30.072°C
61,29.885°C
62,29.635°C
63,29.448°C
64,29.26°C
65,29.073°C
66,29.01°C
67,29.01°C
68,28.886°C
69,28.698°C
70,28.448°C
71,28.323°C
72,28.199°C
73,28.136°C
74,28.074°C
75,27.949°C
76,27.886°C
77,27.761°C
78,27.761°C
79,27.699°C
80,27.574°C
81,27.386°C
82,27.199°C
83,27.012°C
84,26.887°C
85,26.699°C
86,26.574°C
87,26.387°C
88,26.262°C
89,26.137°C
90,26.074°C
91,25.887°C
92,25.762°C
93,25.637°C
94,25.574°C
95,25.449°C
96,25.387°C
97,25.512°C
98,25.887°C
99,25.887°C
100,24.262°C
101,23.324°C
102,22.823°C
103,22.511°C
104,22.386°C
105,22.323°C
106,22.26°C
107,22.198°C
108,22.198°C
109,22.198°C
110,22.198°C
111,22.198°C
112,22.198°C
113,22.198°C
114,22.198°C
115,22.135°C
116,22.135°C
117,22.135°C
118,22.198°C
119,22.198°C
120,22.26°C
121,22.26°C
122,22.26°C
123,22.26°C
124,22.323°C
125,22.323°C
126,22.323°C
127,22.323°C
128,22.386°C
129,22.386°C
130,22.386°C
131,22.386°C
132,22.448°C
133,22.448°C
134,22.448°C
135,22.448°C
136,22.448°C
137,22.448°C
138,22.511°C
139,22.511°C
140,22.511°C
141,22.511°C
142,22.511°C
143,22.573°C
144,22.573°C
145,22.573°C
146,22.573°C
147,22.573°C
148,22.636°C
149,22.636°C
150,22.636°C
151,22.636°C
152,22.636°C
153,22.636°C
154,22.698°C
155,22.698°C
156,22.698°C
157,22.698°C
158,22.698°C
159,22.761°C
160,22.761°C
161,22.761°C
162,22.761°C
163,22.761°C
164,22.823°C
165,22.823°C
166,22.823°C
167,22.823°C
168,22.823°C
169,22.823°C
170,22.886°C
171,22.886°C
172,22.886°C
173,22.886°C
174,22.886°C
