Identification,
,
 Serial Number:,B6 00000057CA4B 41 
 Description:,20180523_S4002_PCP1_i17 
 ,
Model,
,
 Code:,DS1922L-F50 
 Description:,Thermocron: Super 
 Resolution:,0.063 °C/0.5 °C 
 Accuracy:,0.5 °C(-40 °C to 85 °C) 
 Range:,-40 °C to 85 °C 
 Log Size:,4096/8192 
 Features:,"Security, Temperature trigger "
 Sample Mode:,8/11 bit 
 ,
Original calibration data,
,
 Reference temperature:,-8.625
 Actual temperature:,-8.625
 Reference temperature:,25.664
 Actual temperature:,25.625
,
Log Values,
Reading,Values
,
0,21.851°C
1,21.851°C
2,21.914°C
3,27.851°C
4,29.351°C
5,29.789°C
6,30.101°C
7,30.351°C
8,30.538°C
9,30.976°C
10,31.226°C
11,31.475°C
12,31.725°C
13,32.163°C
14,32.475°C
15,32.725°C
16,32.85°C
17,32.975°C
18,33.1°C
19,33.225°C
20,33.287°C
21,33.35°C
22,33.412°C
23,33.475°C
24,33.537°C
25,33.6°C
26,33.662°C
27,33.724°C
28,33.787°C
29,33.849°C
30,33.912°C
31,33.974°C
32,33.974°C
33,34.037°C
34,34.037°C
35,34.037°C
36,33.974°C
37,33.974°C
38,33.912°C
39,33.849°C
40,33.787°C
41,33.724°C
42,33.724°C
43,33.724°C
44,33.662°C
45,33.662°C
46,33.6°C
47,33.537°C
48,33.412°C
49,33.35°C
50,33.287°C
51,33.225°C
52,33.1°C
53,33.037°C
54,32.975°C
55,32.912°C
56,32.85°C
57,32.725°C
58,32.6°C
59,32.475°C
60,32.288°C
61,32.225°C
62,32.1°C
63,31.975°C
64,31.913°C
65,31.788°C
66,31.725°C
67,31.6°C
68,31.538°C
69,31.351°C
70,31.226°C
71,31.101°C
72,30.976°C
73,30.913°C
74,30.788°C
75,30.726°C
76,30.601°C
77,30.413°C
78,30.288°C
79,30.163°C
80,30.101°C
81,29.976°C
82,29.851°C
83,29.726°C
84,29.601°C
85,29.539°C
86,29.476°C
87,29.351°C
88,29.164°C
89,29.039°C
90,28.914°C
91,28.789°C
92,28.664°C
93,28.539°C
94,28.351°C
95,28.164°C
96,27.976°C
97,27.851°C
98,27.039°C
99,25.227°C
100,24.164°C
101,23.476°C
102,22.914°C
103,22.601°C
104,22.476°C
105,22.351°C
106,22.289°C
107,22.226°C
108,22.164°C
109,22.164°C
110,22.164°C
111,22.164°C
112,22.164°C
113,22.164°C
114,22.164°C
115,22.101°C
116,22.101°C
117,22.101°C
118,22.164°C
119,22.164°C
120,22.226°C
121,22.226°C
122,22.226°C
123,22.289°C
124,22.289°C
125,22.351°C
126,22.351°C
127,22.351°C
128,22.351°C
129,22.414°C
130,22.414°C
131,22.414°C
132,22.414°C
133,22.476°C
134,22.476°C
135,22.476°C
136,22.476°C
137,22.476°C
138,22.539°C
139,22.539°C
140,22.539°C
141,22.539°C
142,22.539°C
143,22.601°C
144,22.601°C
145,22.601°C
146,22.601°C
147,22.601°C
148,22.664°C
149,22.664°C
150,22.664°C
151,22.664°C
152,22.664°C
153,22.726°C
154,22.726°C
155,22.726°C
156,22.726°C
157,22.726°C
158,22.726°C
159,22.726°C
160,22.726°C
161,22.726°C
162,22.789°C
163,22.789°C
164,22.789°C
165,22.789°C
166,22.789°C
167,22.789°C
168,22.914°C
